ghg_category,method,type,subtype,name,description,unit,total_co2_kg,source,source_year
investments,equity-average-data-method,goods,Manufacturing|Apparel Manufacturing|Apparel Knitting Mills,Other Apparel Knitting Mills,,usd,"0,145",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Apparel Manufacturing|Cut and Sew Apparel Manufacturing,Cut and Sew Apparel Contractors,,usd,"0,145",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Apparel Manufacturing|Cut and Sew Apparel Manufacturing,Men's and Boys' Cut and Sew Apparel Manufacturing,,usd,"0,145",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Apparel Manufacturing|Cut and Sew Apparel Manufacturing,"Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing",,usd,"0,145",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Apparel Manufacturing|Cut and Sew Apparel Manufacturing,Other Cut and Sew Apparel Manufacturing,,usd,"0,145",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Apparel Manufacturing|Apparel Accessories and Other Apparel Manufacturing,Apparel Accessories and Other Apparel Manufacturing,,usd,"0,145",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Leather and Allied Product Manufacturing|Leather and Hide Tanning and Finishing,Leather and Hide Tanning and Finishing,,usd,"0,256",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Leather and Allied Product Manufacturing|Footwear Manufacturing,Footwear Manufacturing,,usd,"0,256",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Leather and Allied Product Manufacturing|Other Leather and Allied Product Manufacturing,Women's Handbag and Purse Manufacturing,,usd,"0,256",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Leather and Allied Product Manufacturing|Other Leather and Allied Product Manufacturing,All Other Leather Good and Allied Product Manufacturing,,usd,"0,256",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Wood Product Manufacturing|Sawmills and Wood Preservation,Sawmills,,usd,"0,274",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Wood Product Manufacturing|Sawmills and Wood Preservation,Wood Preservation,,usd,"0,274",U.S EPA,2021
investments,equity-average-data-method,goods,"Manufacturing|Wood Product Manufacturing|Veneer, Plywood, and Engineered Wood Product Manufacturing",Hardwood Veneer and Plywood Manufacturing,,usd,"0,218",U.S EPA,2021
investments,equity-average-data-method,goods,"Manufacturing|Wood Product Manufacturing|Veneer, Plywood, and Engineered Wood Product Manufacturing",Softwood Veneer and Plywood Manufacturing,,usd,"0,218",U.S EPA,2021
investments,equity-average-data-method,goods,"Manufacturing|Wood Product Manufacturing|Veneer, Plywood, and Engineered Wood Product Manufacturing",Engineered Wood Member (except Truss) Manufacturing,,usd,"0,218",U.S EPA,2021
investments,equity-average-data-method,goods,"Manufacturing|Wood Product Manufacturing|Veneer, Plywood, and Engineered Wood Product Manufacturing",Truss Manufacturing,,usd,"0,218",U.S EPA,2021
